Country,Energy Supply,Energy Supply per capita,% Renewable
Afghanistan,321000000.0,10.0,78.66928
Albania,102000000.0,35.0,100
Algeria,1959000000.0,51.0,0.55101
American Samoa,,,0.641026
Andorra,9000000.0,121.0,88.69565
Angola,642000000.0,27.0,70.90909
Anguilla,2000000.0,136.0,0
Antigua and Barbuda,8000000.0,84.0,0
Argentina,3378000000.0,79.0,24.06452
Armenia,143000000.0,48.0,28.23606
Aruba,12000000.0,120.0,14.87069
Australia,5386000000.0,231.0,11.81081
Austria,1391000000.0,164.0,72.45282
Azerbaijan,567000000.0,60.0,6.384345
Bahamas,45000000.0,118.0,0
Bahrain,574000000.0,425.0,0
Bangladesh,1625000000.0,10.0,1.966329
Barbados,19000000.0,69.0,0
Belarus,1142000000.0,120.0,0.463389
Belgium,2338000000.0,210.0,9.959739
Belize,13000000.0,39.0,64.69003
Benin,170000000.0,16.0,0
Bermuda,6000000.0,88.0,0
Bhutan,63000000.0,83.0,100
Bolivia,336000000.0,32.0,31.47712
"Bonaire, Sint Eustatius and Saba",5000000.0,213.0,0
Bosnia and Herzegovina,266000000.0,70.0,41.46467
Botswana,86000000.0,39.0,0.131406
Brazil,12149000000.0,59.0,69.64803
British Virgin Islands,2000000.0,85.0,0
Brunei Darussalam,127000000.0,310.0,0.045434
Bulgaria,703000000.0,97.0,17.23461
Burkina Faso,164000000.0,10.0,14.50068
Burundi,58000000.0,6.0,86.79245
Cabo Verde,7000000.0,15.0,21.22762
Cambodia,250000000.0,17.0,57.31159
Cameroon,307000000.0,14.0,70.88626
Canada,10431000000.0,296.0,61.94543
Cayman Islands,8000000.0,131.0,0
Central African Republic,23000000.0,5.0,85.63536
Chad,77000000.0,6.0,0
Chile,1613000000.0,92.0,28.00657
China,127191000000.0,93.0,19.75491
Hong Kong,585000000.0,82.0,0
"China, Macao Special Administrative Region",47000000.0,83.0,0
Colombia,1513000000.0,32.0,63.00284
Comoros,5000000.0,7.0,11.62791
Congo,102000000.0,23.0,57.74887
Cook Islands,1000000.0,48.0,0
Costa Rica,222000000.0,47.0,88.73642
Côte d'Ivoire,547000000.0,25.0,22.82278
Croatia,321000000.0,75.0,64.28412
Cuba,585000000.0,51.0,0.663532
Curaçao,78000000.0,502.0,0
Cyprus,82000000.0,71.0,6.480186
Czech Republic,1751000000.0,166.0,7.067134
Democratic People's Republic of Korea,612000000.0,25.0,70.18029
Democratic Republic of the Congo,888000000.0,12.0,99.5943
Denmark,725000000.0,129.0,33.53766
Djibouti,11000000.0,13.0,0
Dominica,2000000.0,28.0,36.63366
Dominican Republic,339000000.0,33.0,11.2506
Ecuador,680000000.0,43.0,47.71486
Egypt,3422000000.0,39.0,8.805713
El Salvador,176000000.0,29.0,56.44505
Equatorial Guinea,73000000.0,91.0,6.363636
Eritrea,34000000.0,7.0,0.550964
Estonia,258000000.0,195.0,4.180791
Ethiopia,1394000000.0,15.0,99.90825
Faeroe Islands,9000000.0,179.0,38.56655
Falkland Islands,1000000.0,258.0,33.33333
Fiji,31000000.0,36.0,62.00466
Finland,1374000000.0,252.0,19.53657
France,10597000000.0,166.0,17.02028
